"inventory_id","film_id","store_id","last_update"
97,19,2,"2020-02-15 11:09:17+01"
98,19,2,"2020-02-15 11:09:17+01"
99,20,1,"2020-02-15 11:09:17+01"
100,20,1,"2020-02-15 11:09:17+01"
101,20,1,"2020-02-15 11:09:17+01"
102,21,1,"2020-02-15 11:09:17+01"
103,21,1,"2020-02-15 11:09:17+01"
104,21,2,"2020-02-15 11:09:17+01"
105,21,2,"2020-02-15 11:09:17+01"
106,21,2,"2020-02-15 11:09:17+01"
107,21,2,"2020-02-15 11:09:17+01"
108,22,1,"2020-02-15 11:09:17+01"
109,22,1,"2020-02-15 11:09:17+01"
110,22,1,"2020-02-15 11:09:17+01"
111,22,1,"2020-02-15 11:09:17+01"
112,22,2,"2020-02-15 11:09:17+01"
113,22,2,"2020-02-15 11:09:17+01"
114,22,2,"2020-02-15 11:09:17+01"
115,23,1,"2020-02-15 11:09:17+01"
116,23,1,"2020-02-15 11:09:17+01"
117,23,1,"2020-02-15 11:09:17+01"
118,23,2,"2020-02-15 11:09:17+01"
119,23,2,"2020-02-15 11:09:17+01"
120,24,1,"2020-02-15 11:09:17+01"
121,24,1,"2020-02-15 11:09:17+01"
122,24,1,"2020-02-15 11:09:17+01"
123,24,1,"2020-02-15 11:09:17+01"
124,25,1,"2020-02-15 11:09:17+01"
125,25,1,"2020-02-15 11:09:17+01"
126,25,1,"2020-02-15 11:09:17+01"
127,25,1,"2020-02-15 11:09:17+01"
128,25,2,"2020-02-15 11:09:17+01"
129,25,2,"2020-02-15 11:09:17+01"
130,26,1,"2020-02-15 11:09:17+01"
131,26,1,"2020-02-15 11:09:17+01"
132,26,2,"2020-02-15 11:09:17+01"
133,26,2,"2020-02-15 11:09:17+01"
134,26,2,"2020-02-15 11:09:17+01"
135,27,1,"2020-02-15 11:09:17+01"
136,27,1,"2020-02-15 11:09:17+01"
137,27,1,"2020-02-15 11:09:17+01"
138,27,1,"2020-02-15 11:09:17+01"
139,28,1,"2020-02-15 11:09:17+01"
140,28,1,"2020-02-15 11:09:17+01"
141,28,1,"2020-02-15 11:09:17+01"
142,29,1,"2020-02-15 11:09:17+01"
143,29,1,"2020-02-15 11:09:17+01"
144,30,1,"2020-02-15 11:09:17+01"
145,30,1,"2020-02-15 11:09:17+01"
146,31,1,"2020-02-15 11:09:17+01"
147,31,1,"2020-02-15 11:09:17+01"
148,31,1,"2020-02-15 11:09:17+01"
149,31,1,"2020-02-15 11:09:17+01"
150,31,2,"2020-02-15 11:09:17+01"
151,31,2,"2020-02-15 11:09:17+01"
152,31,2,"2020-02-15 11:09:17+01"
153,31,2,"2020-02-15 11:09:17+01"
154,32,2,"2020-02-15 11:09:17+01"
155,32,2,"2020-02-15 11:09:17+01"
156,34,2,"2020-02-15 11:09:17+01"
157,34,2,"2020-02-15 11:09:17+01"
158,34,2,"2020-02-15 11:09:17+01"
159,34,2,"2020-02-15 11:09:17+01"
160,35,1,"2020-02-15 11:09:17+01"
161,35,1,"2020-02-15 11:09:17+01"
162,35,1,"2020-02-15 11:09:17+01"
163,35,1,"2020-02-15 11:09:17+01"
164,35,2,"2020-02-15 11:09:17+01"
165,35,2,"2020-02-15 11:09:17+01"
166,35,2,"2020-02-15 11:09:17+01"
167,37,1,"2020-02-15 11:09:17+01"
168,37,1,"2020-02-15 11:09:17+01"
169,37,1,"2020-02-15 11:09:17+01"
170,37,1,"2020-02-15 11:09:17+01"
171,37,2,"2020-02-15 11:09:17+01"
172,37,2,"2020-02-15 11:09:17+01"
173,37,2,"2020-02-15 11:09:17+01"
174,39,1,"2020-02-15 11:09:17+01"
175,39,1,"2020-02-15 11:09:17+01"
176,39,1,"2020-02-15 11:09:17+01"
177,39,2,"2020-02-15 11:09:17+01"
178,39,2,"2020-02-15 11:09:17+01"
179,39,2,"2020-02-15 11:09:17+01"
180,39,2,"2020-02-15 11:09:17+01"
181,40,2,"2020-02-15 11:09:17+01"
182,40,2,"2020-02-15 11:09:17+01"
183,40,2,"2020-02-15 11:09:17+01"
184,40,2,"2020-02-15 11:09:17+01"
185,42,2,"2020-02-15 11:09:17+01"
186,42,2,"2020-02-15 11:09:17+01"
187,42,2,"2020-02-15 11:09:17+01"
188,42,2,"2020-02-15 11:09:17+01"
189,43,1,"2020-02-15 11:09:17+01"
190,43,1,"2020-02-15 11:09:17+01"
191,43,1,"2020-02-15 11:09:17+01"
192,43,2,"2020-02-15 11:09:17+01"
193,43,2,"2020-02-15 11:09:17+01"
194,43,2,"2020-02-15 11:09:17+01"
195,43,2,"2020-02-15 11:09:17+01"
196,44,1,"2020-02-15 11:09:17+01"
197,44,1,"2020-02-15 11:09:17+01"
198,44,2,"2020-02-15 11:09:17+01"
199,44,2,"2020-02-15 11:09:17+01"
200,44,2,"2020-02-15 11:09:17+01"
201,45,1,"2020-02-15 11:09:17+01"
202,45,1,"2020-02-15 11:09:17+01"
203,45,1,"2020-02-15 11:09:17+01"
204,45,1,"2020-02-15 11:09:17+01"
205,45,2,"2020-02-15 11:09:17+01"
206,45,2,"2020-02-15 11:09:17+01"
207,46,2,"2020-02-15 11:09:17+01"
208,46,2,"2020-02-15 11:09:17+01"
209,46,2,"2020-02-15 11:09:17+01"
210,47,2,"2020-02-15 11:09:17+01"
211,47,2,"2020-02-15 11:09:17+01"
212,48,1,"2020-02-15 11:09:17+01"
213,48,1,"2020-02-15 11:09:17+01"
214,48,2,"2020-02-15 11:09:17+01"
215,48,2,"2020-02-15 11:09:17+01"
216,49,1,"2020-02-15 11:09:17+01"
217,49,1,"2020-02-15 11:09:17+01"
218,49,1,"2020-02-15 11:09:17+01"
219,49,2,"2020-02-15 11:09:17+01"
220,49,2,"2020-02-15 11:09:17+01"
221,49,2,"2020-02-15 11:09:17+01"
222,50,1,"2020-02-15 11:09:17+01"
223,50,1,"2020-02-15 11:09:17+01"
224,50,1,"2020-02-15 11:09:17+01"
225,50,2,"2020-02-15 11:09:17+01"
226,50,2,"2020-02-15 11:09:17+01"
227,51,1,"2020-02-15 11:09:17+01"
228,51,1,"2020-02-15 11:09:17+01"
229,51,2,"2020-02-15 11:09:17+01"
230,51,2,"2020-02-15 11:09:17+01"
231,51,2,"2020-02-15 11:09:17+01"
232,51,2,"2020-02-15 11:09:17+01"
233,52,2,"2020-02-15 11:09:17+01"
234,52,2,"2020-02-15 11:09:17+01"
235,53,1,"2020-02-15 11:09:17+01"
236,53,1,"2020-02-15 11:09:17+01"
237,54,1,"2020-02-15 11:09:17+01"
238,54,1,"2020-02-15 11:09:17+01"
239,54,1,"2020-02-15 11:09:17+01"
240,54,2,"2020-02-15 11:09:17+01"
241,54,2,"2020-02-15 11:09:17+01"
242,55,1,"2020-02-15 11:09:17+01"
243,55,1,"2020-02-15 11:09:17+01"
244,55,1,"2020-02-15 11:09:17+01"
245,55,1,"2020-02-15 11:09:17+01"
246,55,2,"2020-02-15 11:09:17+01"
247,55,2,"2020-02-15 11:09:17+01"
248,56,1,"2020-02-15 11:09:17+01"
249,56,1,"2020-02-15 11:09:17+01"
250,56,1,"2020-02-15 11:09:17+01"
251,56,2,"2020-02-15 11:09:17+01"
252,56,2,"2020-02-15 11:09:17+01"
253,57,1,"2020-02-15 11:09:17+01"
254,57,1,"2020-02-15 11:09:17+01"
255,57,1,"2020-02-15 11:09:17+01"
256,57,1,"2020-02-15 11:09:17+01"
257,57,2,"2020-02-15 11:09:17+01"
258,57,2,"2020-02-15 11:09:17+01"
259,57,2,"2020-02-15 11:09:17+01"
260,58,2,"2020-02-15 11:09:17+01"
261,58,2,"2020-02-15 11:09:17+01"
262,58,2,"2020-02-15 11:09:17+01"
263,58,2,"2020-02-15 11:09:17+01"
264,59,1,"2020-02-15 11:09:17+01"
265,59,1,"2020-02-15 11:09:17+01"
266,59,1,"2020-02-15 11:09:17+01"
267,59,2,"2020-02-15 11:09:17+01"
268,59,2,"2020-02-15 11:09:17+01"
269,60,1,"2020-02-15 11:09:17+01"
270,60,1,"2020-02-15 11:09:17+01"
271,60,1,"2020-02-15 11:09:17+01"
272,61,1,"2020-02-15 11:09:17+01"
273,61,1,"2020-02-15 11:09:17+01"
274,61,1,"2020-02-15 11:09:17+01"
275,61,1,"2020-02-15 11:09:17+01"
276,61,2,"2020-02-15 11:09:17+01"
277,61,2,"2020-02-15 11:09:17+01"
278,62,2,"2020-02-15 11:09:17+01"
279,62,2,"2020-02-15 11:09:17+01"
280,63,1,"2020-02-15 11:09:17+01"
281,63,1,"2020-02-15 11:09:17+01"
282,63,2,"2020-02-15 11:09:17+01"
283,63,2,"2020-02-15 11:09:17+01"
284,64,2,"2020-02-15 11:09:17+01"
285,64,2,"2020-02-15 11:09:17+01"
286,64,2,"2020-02-15 11:09:17+01"
287,65,2,"2020-02-15 11:09:17+01"
288,65,2,"2020-02-15 11:09:17+01"
289,65,2,"2020-02-15 11:09:17+01"
290,65,2,"2020-02-15 11:09:17+01"
291,66,1,"2020-02-15 11:09:17+01"
292,66,1,"2020-02-15 11:09:17+01"
293,66,1,"2020-02-15 11:09:17+01"
294,67,1,"2020-02-15 11:09:17+01"
295,67,1,"2020-02-15 11:09:17+01"
296,67,2,"2020-02-15 11:09:17+01"
297,67,2,"2020-02-15 11:09:17+01"
298,67,2,"2020-02-15 11:09:17+01"
299,67,2,"2020-02-15 11:09:17+01"
300,68,1,"2020-02-15 11:09:17+01"
301,68,1,"2020-02-15 11:09:17+01"
302,68,2,"2020-02-15 11:09:17+01"
303,68,2,"2020-02-15 11:09:17+01"
304,69,1,"2020-02-15 11:09:17+01"
305,69,1,"2020-02-15 11:09:17+01"
306,69,1,"2020-02-15 11:09:17+01"
307,69,1,"2020-02-15 11:09:17+01"
308,69,2,"2020-02-15 11:09:17+01"
309,69,2,"2020-02-15 11:09:17+01"
310,69,2,"2020-02-15 11:09:17+01"
311,69,2,"2020-02-15 11:09:17+01"
312,70,1,"2020-02-15 11:09:17+01"
313,70,1,"2020-02-15 11:09:17+01"
314,70,2,"2020-02-15 11:09:17+01"
315,70,2,"2020-02-15 11:09:17+01"
316,71,2,"2020-02-15 11:09:17+01"
317,71,2,"2020-02-15 11:09:17+01"
318,71,2,"2020-02-15 11:09:17+01"
319,71,2,"2020-02-15 11:09:17+01"
320,72,1,"2020-02-15 11:09:17+01"
321,72,1,"2020-02-15 11:09:17+01"
322,72,1,"2020-02-15 11:09:17+01"
323,72,1,"2020-02-15 11:09:17+01"
324,72,2,"2020-02-15 11:09:17+01"
325,72,2,"2020-02-15 11:09:17+01"
326,73,1,"2020-02-15 11:09:17+01"
327,73,1,"2020-02-15 11:09:17+01"
328,73,1,"2020-02-15 11:09:17+01"
329,73,1,"2020-02-15 11:09:17+01"
330,73,2,"2020-02-15 11:09:17+01"
331,73,2,"2020-02-15 11:09:17+01"
332,73,2,"2020-02-15 11:09:17+01"
333,73,2,"2020-02-15 11:09:17+01"
334,74,1,"2020-02-15 11:09:17+01"
335,74,1,"2020-02-15 11:09:17+01"
336,74,1,"2020-02-15 11:09:17+01"
337,74,2,"2020-02-15 11:09:17+01"
338,74,2,"2020-02-15 11:09:17+01"
339,75,2,"2020-02-15 11:09:17+01"
340,75,2,"2020-02-15 11:09:17+01"
341,75,2,"2020-02-15 11:09:17+01"
342,76,1,"2020-02-15 11:09:17+01"
343,76,1,"2020-02-15 11:09:17+01"
344,76,1,"2020-02-15 11:09:17+01"
345,77,1,"2020-02-15 11:09:17+01"
346,77,1,"2020-02-15 11:09:17+01"
347,77,1,"2020-02-15 11:09:17+01"
348,77,1,"2020-02-15 11:09:17+01"
349,77,2,"2020-02-15 11:09:17+01"
350,77,2,"2020-02-15 11:09:17+01"
351,78,1,"2020-02-15 11:09:17+01"
352,78,1,"2020-02-15 11:09:17+01"
353,78,1,"2020-02-15 11:09:17+01"
354,78,2,"2020-02-15 11:09:17+01"
355,78,2,"2020-02-15 11:09:17+01"
356,78,2,"2020-02-15 11:09:17+01"
357,78,2,"2020-02-15 11:09:17+01"
358,79,1,"2020-02-15 11:09:17+01"
359,79,1,"2020-02-15 11:09:17+01"
360,79,1,"2020-02-15 11:09:17+01"
361,79,2,"2020-02-15 11:09:17+01"
362,79,2,"2020-02-15 11:09:17+01"
363,79,2,"2020-02-15 11:09:17+01"
364,80,1,"2020-02-15 11:09:17+01"
365,80,1,"2020-02-15 11:09:17+01"
366,80,1,"2020-02-15 11:09:17+01"
367,80,1,"2020-02-15 11:09:17+01"
368,81,1,"2020-02-15 11:09:17+01"
369,81,1,"2020-02-15 11:09:17+01"
370,81,1,"2020-02-15 11:09:17+01"
371,81,1,"2020-02-15 11:09:17+01"
372,82,1,"2020-02-15 11:09:17+01"
373,82,1,"2020-02-15 11:09:17+01"
374,83,1,"2020-02-15 11:09:17+01"
375,83,1,"2020-02-15 11:09:17+01"
376,83,1,"2020-02-15 11:09:17+01"
377,83,2,"2020-02-15 11:09:17+01"
378,83,2,"2020-02-15 11:09:17+01"
379,84,1,"2020-02-15 11:09:17+01"
380,84,1,"2020-02-15 11:09:17+01"
381,84,1,"2020-02-15 11:09:17+01"
382,84,1,"2020-02-15 11:09:17+01"
383,85,2,"2020-02-15 11:09:17+01"
384,85,2,"2020-02-15 11:09:17+01"
385,85,2,"2020-02-15 11:09:17+01"
386,85,2,"2020-02-15 11:09:17+01"
387,86,1,"2020-02-15 11:09:17+01"
388,86,1,"2020-02-15 11:09:17+01"
389,86,1,"2020-02-15 11:09:17+01"
390,86,1,"2020-02-15 11:09:17+01"
391,86,2,"2020-02-15 11:09:17+01"
392,86,2,"2020-02-15 11:09:17+01"
393,86,2,"2020-02-15 11:09:17+01"
394,86,2,"2020-02-15 11:09:17+01"
395,88,2,"2020-02-15 11:09:17+01"
396,88,2,"2020-02-15 11:09:17+01"
397,88,2,"2020-02-15 11:09:17+01"
398,88,2,"2020-02-15 11:09:17+01"
399,89,1,"2020-02-15 11:09:17+01"
400,89,1,"2020-02-15 11:09:17+01"
401,89,1,"2020-02-15 11:09:17+01"
402,89,2,"2020-02-15 11:09:17+01"
403,89,2,"2020-02-15 11:09:17+01"
404,89,2,"2020-02-15 11:09:17+01"
405,90,1,"2020-02-15 11:09:17+01"
406,90,1,"2020-02-15 11:09:17+01"
407,90,1,"2020-02-15 11:09:17+01"
408,90,2,"2020-02-15 11:09:17+01"
409,90,2,"2020-02-15 11:09:17+01"
410,90,2,"2020-02-15 11:09:17+01"
411,91,1,"2020-02-15 11:09:17+01"
412,91,1,"2020-02-15 11:09:17+01"
413,91,1,"2020-02-15 11:09:17+01"
414,91,1,"2020-02-15 11:09:17+01"
415,91,2,"2020-02-15 11:09:17+01"
416,91,2,"2020-02-15 11:09:17+01"
417,91,2,"2020-02-15 11:09:17+01"
418,91,2,"2020-02-15 11:09:17+01"
419,92,1,"2020-02-15 11:09:17+01"
420,92,1,"2020-02-15 11:09:17+01"
421,92,2,"2020-02-15 11:09:17+01"
422,92,2,"2020-02-15 11:09:17+01"
423,93,2,"2020-02-15 11:09:17+01"
424,93,2,"2020-02-15 11:09:17+01"
425,93,2,"2020-02-15 11:09:17+01"
426,94,1,"2020-02-15 11:09:17+01"
427,94,1,"2020-02-15 11:09:17+01"
428,95,1,"2020-02-15 11:09:17+01"
429,95,1,"2020-02-15 11:09:17+01"
430,95,2,"2020-02-15 11:09:17+01"
431,95,2,"2020-02-15 11:09:17+01"
432,95,2,"2020-02-15 11:09:17+01"
433,96,1,"2020-02-15 11:09:17+01"
434,96,1,"2020-02-15 11:09:17+01"
435,96,1,"2020-02-15 11:09:17+01"
436,97,1,"2020-02-15 11:09:17+01"
437,97,1,"2020-02-15 11:09:17+01"
438,97,1,"2020-02-15 11:09:17+01"
439,97,1,"2020-02-15 11:09:17+01"
440,97,2,"2020-02-15 11:09:17+01"
441,97,2,"2020-02-15 11:09:17+01"
442,98,1,"2020-02-15 11:09:17+01"
443,98,1,"2020-02-15 11:09:17+01"
444,98,1,"2020-02-15 11:09:17+01"
445,99,1,"2020-02-15 11:09:17+01"
446,99,1,"2020-02-15 11:09:17+01"
447,99,1,"2020-02-15 11:09:17+01"
448,99,2,"2020-02-15 11:09:17+01"
449,99,2,"2020-02-15 11:09:17+01"
450,99,2,"2020-02-15 11:09:17+01"
451,100,1,"2020-02-15 11:09:17+01"
452,100,1,"2020-02-15 11:09:17+01"
453,100,1,"2020-02-15 11:09:17+01"
454,100,1,"2020-02-15 11:09:17+01"
455,100,2,"2020-02-15 11:09:17+01"
456,100,2,"2020-02-15 11:09:17+01"
457,101,1,"2020-02-15 11:09:17+01"
458,101,1,"2020-02-15 11:09:17+01"
459,101,1,"2020-02-15 11:09:17+01"
460,101,1,"2020-02-15 11:09:17+01"
461,101,2,"2020-02-15 11:09:17+01"
462,101,2,"2020-02-15 11:09:17+01"
463,102,2,"2020-02-15 11:09:17+01"
464,102,2,"2020-02-15 11:09:17+01"
465,103,1,"2020-02-15 11:09:17+01"
466,103,1,"2020-02-15 11:09:17+01"
467,103,1,"2020-02-15 11:09:17+01"
468,103,1,"2020-02-15 11:09:17+01"
469,103,2,"2020-02-15 11:09:17+01"
470,103,2,"2020-02-15 11:09:17+01"
471,103,2,"2020-02-15 11:09:17+01"
472,103,2,"2020-02-15 11:09:17+01"
473,104,2,"2020-02-15 11:09:17+01"
474,104,2,"2020-02-15 11:09:17+01"
475,104,2,"2020-02-15 11:09:17+01"
476,105,1,"2020-02-15 11:09:17+01"
477,105,1,"2020-02-15 11:09:17+01"
478,105,2,"2020-02-15 11:09:17+01"
479,105,2,"2020-02-15 11:09:17+01"
480,105,2,"2020-02-15 11:09:17+01"
481,106,1,"2020-02-15 11:09:17+01"
482,106,1,"2020-02-15 11:09:17+01"
483,107,2,"2020-02-15 11:09:17+01"
484,107,2,"2020-02-15 11:09:17+01"
485,109,1,"2020-02-15 11:09:17+01"
486,109,1,"2020-02-15 11:09:17+01"
487,109,1,"2020-02-15 11:09:17+01"
488,109,1,"2020-02-15 11:09:17+01"
489,109,2,"2020-02-15 11:09:17+01"
490,109,2,"2020-02-15 11:09:17+01"
491,109,2,"2020-02-15 11:09:17+01"
492,109,2,"2020-02-15 11:09:17+01"
493,110,1,"2020-02-15 11:09:17+01"
494,110,1,"2020-02-15 11:09:17+01"
495,110,1,"2020-02-15 11:09:17+01"
496,110,1,"2020-02-15 11:09:17+01"
497,111,2,"2020-02-15 11:09:17+01"
498,111,2,"2020-02-15 11:09:17+01"
499,111,2,"2020-02-15 11:09:17+01"
500,111,2,"2020-02-15 11:09:17+01"
501,112,1,"2020-02-15 11:09:17+01"
502,112,1,"2020-02-15 11:09:17+01"
503,112,1,"2020-02-15 11:09:17+01"
504,112,1,"2020-02-15 11:09:17+01"
505,112,2,"2020-02-15 11:09:17+01"
506,112,2,"2020-02-15 11:09:17+01"
507,112,2,"2020-02-15 11:09:17+01"
508,113,2,"2020-02-15 11:09:17+01"
509,113,2,"2020-02-15 11:09:17+01"
510,113,2,"2020-02-15 11:09:17+01"
511,113,2,"2020-02-15 11:09:17+01"
512,114,1,"2020-02-15 11:09:17+01"
513,114,1,"2020-02-15 11:09:17+01"
514,114,1,"2020-02-15 11:09:17+01"
515,114,1,"2020-02-15 11:09:17+01"
516,114,2,"2020-02-15 11:09:17+01"
517,114,2,"2020-02-15 11:09:17+01"
518,114,2,"2020-02-15 11:09:17+01"
519,115,1,"2020-02-15 11:09:17+01"
520,115,1,"2020-02-15 11:09:17+01"
521,115,1,"2020-02-15 11:09:17+01"
522,115,2,"2020-02-15 11:09:17+01"
523,115,2,"2020-02-15 11:09:17+01"
524,115,2,"2020-02-15 11:09:17+01"
525,115,2,"2020-02-15 11:09:17+01"
526,116,1,"2020-02-15 11:09:17+01"
527,116,1,"2020-02-15 11:09:17+01"
528,116,2,"2020-02-15 11:09:17+01"
529,116,2,"2020-02-15 11:09:17+01"
530,116,2,"2020-02-15 11:09:17+01"
531,116,2,"2020-02-15 11:09:17+01"
532,117,1,"2020-02-15 11:09:17+01"
533,117,1,"2020-02-15 11:09:17+01"
534,117,1,"2020-02-15 11:09:17+01"
535,117,1,"2020-02-15 11:09:17+01"
536,117,2,"2020-02-15 11:09:17+01"
537,117,2,"2020-02-15 11:09:17+01"
538,118,1,"2020-02-15 11:09:17+01"
539,118,1,"2020-02-15 11:09:17+01"
540,118,1,"2020-02-15 11:09:17+01"
541,118,1,"2020-02-15 11:09:17+01"
542,118,2,"2020-02-15 11:09:17+01"
543,118,2,"2020-02-15 11:09:17+01"
544,119,1,"2020-02-15 11:09:17+01"
545,119,1,"2020-02-15 11:09:17+01"
546,119,1,"2020-02-15 11:09:17+01"
547,119,2,"2020-02-15 11:09:17+01"
548,119,2,"2020-02-15 11:09:17+01"
549,119,2,"2020-02-15 11:09:17+01"
550,119,2,"2020-02-15 11:09:17+01"
551,120,1,"2020-02-15 11:09:17+01"
552,120,1,"2020-02-15 11:09:17+01"
553,120,1,"2020-02-15 11:09:17+01"
554,121,1,"2020-02-15 11:09:17+01"
555,121,1,"2020-02-15 11:09:17+01"
556,121,1,"2020-02-15 11:09:17+01"
557,121,2,"2020-02-15 11:09:17+01"
558,121,2,"2020-02-15 11:09:17+01"
559,121,2,"2020-02-15 11:09:17+01"
560,122,1,"2020-02-15 11:09:17+01"
561,122,1,"2020-02-15 11:09:17+01"
562,122,1,"2020-02-15 11:09:17+01"
563,122,1,"2020-02-15 11:09:17+01"
564,122,2,"2020-02-15 11:09:17+01"
565,122,2,"2020-02-15 11:09:17+01"
566,122,2,"2020-02-15 11:09:17+01"
567,123,1,"2020-02-15 11:09:17+01"
568,123,1,"2020-02-15 11:09:17+01"
569,123,2,"2020-02-15 11:09:17+01"
570,123,2,"2020-02-15 11:09:17+01"
571,123,2,"2020-02-15 11:09:17+01"
572,124,2,"2020-02-15 11:09:17+01"
573,124,2,"2020-02-15 11:09:17+01"
574,124,2,"2020-02-15 11:09:17+01"
575,125,2,"2020-02-15 11:09:17+01"
576,125,2,"2020-02-15 11:09:17+01"
577,126,2,"2020-02-15 11:09:17+01"
578,126,2,"2020-02-15 11:09:17+01"
579,126,2,"2020-02-15 11:09:17+01"
580,127,1,"2020-02-15 11:09:17+01"
581,127,1,"2020-02-15 11:09:17+01"
582,127,1,"2020-02-15 11:09:17+01"
583,127,1,"2020-02-15 11:09:17+01"
584,127,2,"2020-02-15 11:09:17+01"
585,127,2,"2020-02-15 11:09:17+01"
586,127,2,"2020-02-15 11:09:17+01"
587,127,2,"2020-02-15 11:09:17+01"
588,129,1,"2020-02-15 11:09:17+01"
589,129,1,"2020-02-15 11:09:17+01"
590,129,1,"2020-02-15 11:09:17+01"
591,129,2,"2020-02-15 11:09:17+01"
592,129,2,"2020-02-15 11:09:17+01"
593,129,2,"2020-02-15 11:09:17+01"
594,130,1,"2020-02-15 11:09:17+01"
595,130,1,"2020-02-15 11:09:17+01"
596,130,2,"2020-02-15 11:09:17+01"
597,130,2,"2020-02-15 11:09:17+01"
598,130,2,"2020-02-15 11:09:17+01"
599,130,2,"2020-02-15 11:09:17+01"
600,131,1,"2020-02-15 11:09:17+01"
601,131,1,"2020-02-15 11:09:17+01"
602,131,1,"2020-02-15 11:09:17+01"
603,131,1,"2020-02-15 11:09:17+01"
604,131,2,"2020-02-15 11:09:17+01"
605,131,2,"2020-02-15 11:09:17+01"
606,132,1,"2020-02-15 11:09:17+01"
